cole_area_ubicacion,cole_bilingue,edad_presentacion,estu_genero,fami_educacionmadre_cod,fami_educacionpadre_cod,fami_estratovivienda,fami_personashogar,fami_tienecomputador,fami_tieneinternet,punt_total
URBANO,S,20,M,10,12,Estrato 6,1 a 2,Si,Si,400
URBANO,No se sabe,18,M,10,12,Estrato 6,3 a 4,Si,Si,300
URBANO,S,20,F,9,11,Sin Estrato,3 a 4,Si,Si,320
URBANO,S,18,M,10,10,Estrato 3,5 a 6,Si,Si,420
URBANO,S,18,F,10,10,Estrato 2,5 a 6,Si,Si,320
URBANO,S,18,M,10,10,Estrato 4,5 a 6,Si,Si,360
URBANO,No se sabe,18,M,12,12,Estrato 2,3 a 4,Si,Si,340
RURAL,No se sabe,20,F,12,12,Estrato 5,3 a 4,Si,Si,260
URBANO,S,18,F,10,10,Estrato 6,3 a 4,Si,Si,360
URBANO,S,18,M,10,11,Estrato 6,3 a 4,Si,Si,400
URBANO,No se sabe,18,M,3,3,Estrato 4,3 a 4,Si,Si,340
URBANO,S,20,M,10,12,Estrato 6,3 a 4,Si,Si,440
URBANO,No se sabe,18,F,12,10,Estrato 5,3 a 4,Si,Si,380
RURAL,No se sabe,18,M,10,10,Estrato 4,3 a 4,Si,Si,300
URBANO,N,18,F,10,10,Estrato 5,5 a 6,Si,Si,320
URBANO,S,20,M,10,10,Estrato 6,7 a 8,Si,Si,280
URBANO,S,20,M,10,10,Estrato 4,3 a 4,Si,Si,320
URBANO,N,18,M,12,6,Estrato 6,3 a 4,Si,Si,340
URBANO,S,18,M,6,6,Estrato 3,3 a 4,Si,No,300
RURAL,No se sabe,18,M,12,3,Estrato 5,3 a 4,Si,Si,400
URBANO,S,16,F,10,12,Estrato 3,3 a 4,Si,Si,400
URBANO,S,18,M,11,10,Estrato 4,3 a 4,Si,Si,300
URBANO,No se sabe,18,M,10,10,Estrato 6,3 a 4,Si,Si,380
URBANO,N,18,M,11,10,Estrato 2,3 a 4,Si,Si,340
URBANO,S,18,F,11,10,Estrato 4,5 a 6,Si,Si,380
URBANO,No se sabe,18,M,10,12,Estrato 3,9 o mas,Si,Si,320
URBANO,S,18,F,12,12,Sin Estrato,5 a 6,Si,Si,380
URBANO,S,18,F,10,10,Estrato 5,5 a 6,Si,Si,320
URBANO,No se sabe,18,F,10,10,Estrato 4,3 a 4,Si,Si,380
URBANO,S,16,F,12,3,Estrato 3,3 a 4,Si,Si,300
URBANO,S,18,F,12,12,Estrato 4,3 a 4,Si,Si,420
URBANO,S,18,F,10,10,Estrato 4,3 a 4,Si,Si,320
URBANO,S,18,F,10,10,Estrato 6,5 a 6,Si,Si,260
URBANO,No se sabe,18,F,10,12,Estrato 6,3 a 4,Si,Si,400
RURAL,No se sabe,18,M,3,10,Estrato 4,3 a 4,Si,Si,340
URBANO,S,18,F,10,12,Estrato 6,3 a 4,Si,Si,320
URBANO,No se sabe,18,F,10,10,Estrato 4,3 a 4,Si,Si,380
URBANO,S,18,M,10,10,Estrato 6,3 a 4,Si,Si,360
RURAL,No se sabe,18,M,11,8,Estrato 5,3 a 4,Si,Si,360
URBANO,S,18,M,8,7,Estrato 6,5 a 6,Si,Si,320
URBANO,S,18,M,10,10,Sin Estrato,3 a 4,Si,Si,360
RURAL,No se sabe,18,F,10,10,Estrato 5,3 a 4,Si,Si,280
URBANO,N,18,F,11,10,Estrato 5,3 a 4,Si,Si,320
URBANO,S,18,F,10,10,Estrato 4,3 a 4,Si,Si,400
